Date,Confirmed Cases,Deaths,Cases Increase,Deaths Increase
2020-02-23,78982,2470,0.004834482583140343,0.004473363155754306
2020-02-24,79546,2630,0.007140867539439322,0.06477732793522262
2020-02-25,80399,2710,0.010723355039851112,0.03041825095057038
2020-02-26,81376,2771,0.012151892436473188,0.02250922509225095
2020-02-27,82736,2814,0.016712544239087634,0.01551786358715268
2020-02-28,84121,2873,0.01673999226455236,0.020966595593461257
2020-02-29,86014,2942,0.022503298819557482,0.024016707274625793
2020-03-01,88397,2996,0.027704792243123277,0.018354860639021142
2020-03-02,90375,3085,0.022376324988404583,0.02970627503337786
2020-03-03,92959,3160,0.02859197786998613,0.024311183144246407
2020-03-04,95276,3255,0.024924966920900626,0.030063291139240444
2020-03-05,98040,3348,0.02901045383937184,0.02857142857142847
2020-03-06,102040,3460,0.040799673602611275,0.03345280764635605
2020-03-07,106102,3559,0.03980791846334775,0.028612716763005697
2020-03-08,110062,3803,0.03732257638875791,0.06855858387187408
2020-03-09,114025,3987,0.036006977885191915,0.048382855640283884
2020-03-10,119036,4267,0.04394650295987712,0.07022824178580378
2020-03-11,126717,4611,0.06452669780570575,0.08061870166393259
2020-03-12,132506,4917,0.04568447801005382,0.066363044892648
2020-03-13,146887,5414,0.10853093444825146,0.10107789302420178
2020-03-14,157965,5834,0.07541851899759688,0.07757665312153672
2020-03-15,169258,6475,0.07149052005191026,0.10987315735344527
2020-03-16,184002,7153,0.0871096196339316,0.10471042471042469
2020-03-17,199933,7964,0.0865805806458626,0.11337900181741922
2020-03-18,219466,8867,0.09769772873912763,0.11338523355097951
2020-03-19,246622,9980,0.12373670636909595,0.12552159693244613
2020-03-20,277257,11461,0.12421843955527079,0.1483967935871744
2020-03-21,309226,13181,0.11530457301348562,0.15007416455806655
2020-03-22,343487,14855,0.11079598740080066,0.12700098626811318
2020-03-23,386866,16797,0.12629007793599167,0.13073039380679896
2020-03-24,428373,19081,0.10729037961464694,0.13597666249925577
2020-03-25,479398,21881,0.11911348287590484,0.1467428331848435
2020-03-26,542071,24901,0.1307327106078875,0.1380192861386591
2020-03-27,607102,28394,0.11996767951061771,0.14027549094413883
2020-03-28,674494,32107,0.11100605829004029,0.13076706346411204
2020-03-29,733841,35584,0.08798743947314569,0.10829414146447824
2020-03-30,799151,39636,0.08899748038062749,0.11387140287769792
2020-03-31,875928,44388,0.09607320769166283,0.11989100817438691
2020-04-01,952518,49894,0.08743869359125411,0.1240425340182032
2020-04-02,1033847,56131,0.08538316336279217,0.12500501062251979
2020-04-03,1117073,62237,0.08050127339925539,0.10878124387593302
2020-04-04,1197444,68404,0.07194784942434373,0.09908896637048703
2020-04-05,1269433,73569,0.06011888656170972,0.07550728027600728
2020-04-06,1342654,79516,0.05768008236748212,0.08083567807092651
2020-04-07,1420406,87740,0.05790918583641047,0.10342572564012276
2020-04-08,1504616,94501,0.059285866153761635,0.07705721449737868
2020-04-09,1591030,102277,0.057432594097098555,0.08228484354662924
2020-04-10,1678519,109662,0.05498890655738742,0.07220587228800213
2020-04-11,1754685,115903,0.04537690666593597,0.05691123634440376
2020-04-12,1850006,121712,0.054323710523541235,0.05011949647550096
2020-04-13,1920169,127628,0.03792582294327684,0.04860654660181418
2020-04-14,1991488,134598,0.037142043226403576,0.054611840661923816
2020-04-15,2073518,142949,0.0411903059420895,0.06204401254104819
2020-04-16,2170317,150247,0.046683462598347436,0.05105317280988331
2020-04-17,2257993,158612,0.04039778520833592,0.05567498851890562
2020-04-18,2331463,164635,0.032537744802574764,0.03797316722568289
2020-04-19,2411443,169897,0.034304640476816584,0.031961612050900534
2020-04-20,2485944,175755,0.030894779598771294,0.034479714179767695
2020-04-21,2561845,182940,0.03053206347367432,0.04088077152854819
2020-04-22,2639881,189671,0.030460859263538476,0.03679348420247086
2020-04-23,2727877,196509,0.033333320706501635,0.036051900395948744
2020-04-24,2812249,203172,0.03092954704336015,0.033906843961345245
2020-04-25,2895701,208809,0.02967447050385652,0.02774496485736222
2020-04-26,2967636,212748,0.024841998535069854,0.01886412941970894
2020-04-27,3037354,217421,0.023492773372475684,0.021964953842104284
2020-04-28,3112833,223968,0.024850247946074155,0.030112086688958373
2020-04-29,3190288,230702,0.0248824784368451,0.030066795256465273
2020-04-30,3273674,236698,0.02613745216732788,0.0259902384894799
2020-05-01,3360911,241847,0.026648041313826587,0.021753457992885528
2020-05-02,3440893,247325,0.023797714369705014,0.02265068411020188
2020-05-03,3517407,250797,0.022236669376234586,0.014038208834529442
