Date,Country,Confirmed Cases,Deaths,Cases Increase,Deaths Increase
2020-08-20,US,5560639,174285,0.007995969929642355,0.006223766937825781
2020-08-21,US,5608892,175396,0.008677599822610294,0.006374616289410939
2020-08-22,US,5652543,176380,0.007782463987539678,0.005610162147369424
2020-08-23,US,5686994,176835,0.006094778934012446,0.0025796575575463
2020-08-24,US,5723486,177279,0.006416746703091336,0.0025108151666808354
2020-08-25,US,5763463,178509,0.006984729236692466,0.006938216032355671
2020-08-26,US,5808959,179737,0.007893865198752792,0.006879204970057451
2020-08-27,US,5854066,180841,0.007765074602867683,0.006142307927694324
2020-08-28,US,5901035,181813,0.008023312343933275,0.005374887331965672
2020-08-29,US,5946384,182777,0.007684923068580263,0.005302151111306719
2020-08-30,US,5981164,183089,0.0058489327295379034,0.001706998145280858
2020-08-31,US,6016376,183684,0.005887148387838881,0.003249785623385293
2020-09-01,US,6058049,184749,0.006926595013343473,0.005798000914614132
2020-09-02,US,6098989,185801,0.006757951281014751,0.005694212147291822
2020-09-03,US,6142770,186868,0.0071784028467669625,0.005742703214729694
2020-09-04,US,6192912,187835,0.008162766960182477,0.005174775777554208
2020-09-05,US,6236048,188608,0.006965382359704231,0.0041153139723693055
2020-09-06,US,6267558,189019,0.005052879644287467,0.0021791228367831206
2020-09-07,US,6291102,189293,0.0037564869762674036,0.0014495897237842836
2020-09-08,US,6317999,189740,0.004275403577942205,0.0023614185416258593
2020-09-09,US,6351889,190923,0.005364040101937251,0.006234847686307665
2020-09-10,US,6387969,191830,0.005680200016089598,0.004750606265353063
2020-09-11,US,6435397,193043,0.007424582054170958,0.006323307094823649
2020-09-12,US,6476368,193753,0.006366506992497856,0.0036779370399340205
2020-09-13,US,6510673,194139,0.005296950389477528,0.001992227217126885
2020-09-14,US,6544543,194563,0.005202227173749963,0.002184002184002276
2020-09-15,US,6583923,195851,0.006017226871303238,0.00661996371355289
2020-09-16,US,6622377,196830,0.005840590784552013,0.004998697989798462
2020-09-17,US,6667300,197700,0.006783515949031704,0.004420057918000264
2020-09-18,US,6716061,198632,0.007313455221753973,0.004714213454729332
2020-09-19,US,6758513,199347,0.006320967007297895,0.003599621410447451
2020-09-20,US,6796955,199589,0.005687937568515489,0.0012139635911250224
