Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2020-03-13,46.5099983215332,46.189998626708984,32.189998626708984,23.049999237060547,62.939998626708984,84.19000244140625,56.61000061035156,35.310001373291016,57.66999816894531,90.66000366210938,102.30000305175781
2020-03-16,41.38999938964844,40.97999954223633,27.809999465942383,19.889999389648438,55.79999923706055,72.55999755859375,52.77000045776367,29.65999984741211,51.119998931884766,81.72000122070312,89.33999633789062
2020-03-17,43.95000076293945,42.7599983215332,28.0,20.969999313354492,58.369998931884766,77.5,57.220001220703125,31.459999084472656,57.65999984741211,86.8499984741211,92.77999877929688
2020-03-18,41.13999938964844,41.34000015258789,23.979999542236328,19.190000534057617,54.06999969482422,74.58000183105469,55.75,29.25,55.150001525878906,83.97000122070312,87.44999694824219
2020-03-19,42.189998626708984,42.08000183105469,25.610000610351562,19.610000610351562,54.11000061035156,74.8499984741211,53.88999938964844,28.790000915527344,51.939998626708984,82.25,90.5
2020-03-20,40.68000030517578,40.220001220703125,25.860000610351562,18.90999984741211,51.400001525878906,71.41999816894531,50.400001525878906,27.15999984741211,47.81999969482422,79.08999633789062,87.80999755859375
2020-03-23,38.349998474121094,40.31999969482422,23.56999969482422,17.65999984741211,48.77000045776367,70.4000015258789,48.630001068115234,25.459999084472656,44.93000030517578,74.62000274658203,87.52999877929688
2020-03-24,42.86000061035156,42.79999923706055,27.350000381469727,19.850000381469727,54.939998626708984,77.61000061035156,51.11000061035156,27.68000030517578,49.7599983215332,80.37000274658203,95.73999786376953
2020-03-25,43.86000061035156,42.13999938964844,28.639999389648438,20.389999389648438,57.83000183105469,77.51000213623047,50.970001220703125,28.90999984741211,51.029998779296875,81.44000244140625,97.41999816894531
2020-03-26,45.91999816894531,44.540000915527344,30.389999389648438,21.670000076293945,61.47999954223633,82.30999755859375,53.7599983215332,31.1299991607666,55.380001068115234,86.8499984741211,101.44999694824219
2020-03-27,44.2599983215332,42.7599983215332,28.329999923706055,21.010000228881836,58.88999938964844,78.58999633789062,53.5099983215332,31.209999084472656,55.68000030517578,84.98999786376953,98.05000305175781
2020-03-30,45.66999816894531,44.31999969482422,28.6200008392334,21.40999984741211,59.75,81.9000015258789,55.599998474121094,32.02000045776367,57.7400016784668,88.97000122070312,100.0999984741211
2020-03-31,45.040000915527344,44.2400016784668,29.059999465942383,20.81999969482422,59.0099983215332,80.37000274658203,54.470001220703125,31.0,55.40999984741211,88.58000183105469,98.08000183105469
2020-04-01,43.0099983215332,42.47999954223633,27.6200008392334,19.549999237060547,56.349998474121094,76.54000091552734,53.54999923706055,29.1200008392334,52.08000183105469,85.20999908447266,93.69999694824219
2020-04-02,43.65999984741211,43.02000045776367,30.149999618530273,20.040000915527344,57.099998474121094,78.33000183105469,54.91999816894531,29.549999237060547,53.709999084472656,87.56999969482422,94.05000305175781
2020-04-03,42.61000061035156,42.150001525878906,29.829999923706055,19.639999389648438,56.34000015258789,77.12000274658203,55.349998474121094,29.299999237060547,51.790000915527344,86.77999877929688,92.41000366210938
2020-04-06,45.779998779296875,44.93000030517578,31.40999984741211,21.049999237060547,60.2400016784668,83.69999694824219,57.40999984741211,31.420000076293945,55.790000915527344,91.33000183105469,100.0999984741211
2020-04-07,47.0,45.2599983215332,32.08000183105469,21.260000228881836,60.099998474121094,82.94999694824219,56.75,31.43000030517578,55.09000015258789,90.58000183105469,101.58999633789062
2020-04-08,49.29999923706055,46.22999954223633,34.220001220703125,22.190000534057617,62.279998779296875,85.18000030517578,57.59000015258789,33.790000915527344,58.09000015258789,94.30999755859375,104.79000091552734
2020-04-09,51.41999816894531,46.56999969482422,33.90999984741211,23.3799991607666,63.220001220703125,85.19999694824219,58.130001068115234,35.529998779296875,60.83000183105469,94.83000183105469,106.68000030517578
2020-04-13,50.290000915527344,46.63999938964844,33.79999923706055,22.530000686645508,61.369998931884766,85.38999938964844,57.70000076293945,33.900001525878906,58.900001525878906,94.0,106.6500015258789
2020-04-14,50.939998626708984,48.02000045776367,33.63999938964844,22.6299991607666,62.540000915527344,88.97000122070312,60.150001525878906,35.029998779296875,60.630001068115234,97.12000274658203,110.81999969482422
2020-04-15,48.599998474121094,47.56999969482422,32.060001373291016,21.649999618530273,60.810001373291016,87.02999877929688,59.20000076293945,33.68000030517578,58.630001068115234,96.62000274658203,108.38999938964844
2020-04-16,48.31999969482422,47.7599983215332,30.690000534057617,21.270000457763672,60.27000045776367,88.08999633789062,59.59000015258789,33.459999084472656,58.63999938964844,98.7300033569336,109.69000244140625
2020-04-17,50.2599983215332,48.40999984741211,33.95000076293945,22.389999389648438,63.099998474121094,89.26000213623047,60.5,34.540000915527344,60.529998779296875,100.77999877929688,112.93000030517578
2020-04-20,49.02000045776367,47.970001220703125,32.88999938964844,22.0,61.41999816894531,87.83000183105469,59.310001373291016,33.2599983215332,58.2400016784668,99.9800033569336,110.95999908447266
2020-04-21,47.810001373291016,46.459999084472656,32.310001373291016,21.290000915527344,59.970001220703125,84.1500015258789,58.04999923706055,32.77000045776367,57.279998779296875,96.94000244140625,108.08000183105469
2020-04-22,48.75,47.709999084472656,33.459999084472656,21.520000457763672,60.599998474121094,87.38999938964844,58.61000061035156,33.34000015258789,58.95000076293945,98.41999816894531,110.41000366210938
2020-04-23,49.09000015258789,48.04999923706055,34.540000915527344,21.43000030517578,61.08000183105469,86.79000091552734,58.09000015258789,32.959999084472656,57.959999084472656,98.95999908447266,110.37999725341797
2020-04-24,49.86000061035156,48.65999984741211,34.619998931884766,21.739999771118164,61.56999969482422,88.62999725341797,58.709999084472656,33.08000183105469,58.31999969482422,100.29000091552734,112.25
