Symbol,Name,GICS Sector,GICS Sub-Industry,ReturnSum,Rank
GWW,Grainger (W-W-) Inc-,Industrials,Industrial Machinery,0.2205991253722459,128
HAL,Halliburton Co-,Energy,Oil & Gas Equipment & Services,-0.35709355713333935,454
HAS,Hasbro Inc-,Consumer Discretionary,Leisure Products,-0.08403347111016046,352
HBAN,Huntington Bancshares,Financials,Regional Banks,-0.24380858184304088,423
HBI,Hanesbrands Inc,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",-0.18425017775734887,399
HCA,HCA Healthcare,Health Care,Health Care Facilities,0.08135126798879355,234
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,0.15534808934899047,176
HES,Hess Corporation,Energy,Integrated Oil & Gas,-0.4488816026132554,473
HFC,HollyFrontier Corp,Energy,Oil & Gas Refining & Marketing,-0.8641889161808649,500
HIG,Hartford Financial Svc-Gp-,Financials,Property & Casualty Insurance,-0.3158161043393193,445
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,-0.4486037753376877,472
HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",0.05948515629279427,254
HOLX,Hologic,Health Care,Health Care Equipment,0.3916521323262714,45
HON,Honeywell Int'l Inc-,Industrials,Industrial Conglomerates,0.10335573412157828,216
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",-0.5301640013931319,480
HPQ,HP Inc-,Information Technology,"Technology Hardware, Storage & Peripherals",-0.02865238848607987,316
HRL,Hormel Foods Corp-,Consumer Staples,Packaged Foods & Meats,0.20744762109825388,135
HSIC,Henry Schein,Health Care,Health Care Distributors,-0.0419119958387455,319
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,-0.25741735246265307,430
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,0.055059763792087324,255
HUM,Humana Inc-,Health Care,Managed Health Care,0.2558901232550852,109
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,-0.32218717358773574,447
IBM,International Business Machines,Information Technology,IT Consulting & Other Services,-0.13992933408735553,383
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,0.06647967798198806,246
IDXX,IDEXX Laboratories,Health Care,Health Care Equipment,0.557468845625408,15
IEX,IDEX Corporation,Industrials,Industrial Machinery,0.17560399245121516,164
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,-0.17722704105108278,396
ILMN,Illumina Inc,Health Care,Life Sciences Tools & Services,0.009335681235825177,294
INCY,Incyte,Health Care,Biotechnology,-0.04929200984770432,333
INFO,IHS Markit Ltd-,Industrials,Research & Consulting Services,0.2501774824486347,114
INTC,Intel Corp-,Information Technology,Semiconductors,-0.24292028207855765,421
INTU,Intuit Inc-,Information Technology,Application Software,0.2939115366025362,85
IP,International Paper,Materials,Paper Packaging,0.04790307386429049,263
IPG,Interpublic Group,Communication Services,Advertising,-0.05381846011732705,335
IPGP,IPG Photonics Corp-,Information Technology,Electronic Manufacturing Services,0.3556093775550835,60
IQV,IQVIA Holdings Inc-,Health Care,Life Sciences Tools & Services,0.17162746960821096,166
IR,Ingersoll Rand,Industrials,Industrial Machinery,0.2395899442199152,117
IRM,Iron Mountain Incorporated,Real Estate,Specialized REITs,-0.2756444889237173,435
ISRG,Intuitive Surgical Inc-,Health Care,Health Care Equipment,0.2797407920588739,97
IT,Gartner Inc,Information Technology,IT Consulting & Other Services,-0.01233035110635683,308
ITW,Illinois Tool Works,Industrials,Industrial Machinery,0.18838330685684923,153
IVZ,Invesco Ltd-,Financials,Asset Management & Custody Banks,-0.11656605219468474,367
J,Jacobs Engineering Group,Industrials,Construction & Engineering,0.09054760390426964,228
JBHT,J- B- Hunt Transport Services,Industrials,Trucking,0.10962821842986159,213
JCI,Johnson Controls International,Industrials,Building Products,0.05194188156747259,257
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,0.07568112741864752,239
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,0.10513811922282912,214
JNPR,Juniper Networks,Information Technology,Communications Equipment,-0.15486961195711046,388
JPM,JPMorgan Chase & Co-,Financials,Diversified Banks,-0.1270125413138885,370
K,Kellogg Co-,Consumer Staples,Packaged Foods & Meats,0.016868950857315212,282
KEY,KeyCorp,Financials,Regional Banks,-0.24351295660017058,422
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,0.06237030255579157,251
KHC,Kraft Heinz Co,Consumer Staples,Packaged Foods & Meats,0.009855474607320502,293
