Symbol,Name,GICS Sector,GICS Sub-Industry,ReturnSum,Rank
MRK,Merck & Co-,Health Care,Pharmaceuticals,-0.045914523405372165,326
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,-0.04689252260141075,327
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,-0.047322641032224055,328
RJF,Raymond James Financial Inc-,Financials,Investment Banking & Brokerage,-0.047532579374092165,329
LMT,Lockheed Martin Corp-,Industrials,Aerospace & Defense,-0.04790878960193368,330
EXC,Exelon Corp-,Utilities,Multi-Utilities,-0.04846819269005209,331
AXP,American Express Co,Financials,Consumer Finance,-0.048959977699269075,332
INCY,Incyte,Health Care,Biotechnology,-0.04929200984770432,333
CNP,CenterPoint Energy,Utilities,Multi-Utilities,-0.04947721926146187,334
IPG,Interpublic Group,Communication Services,Advertising,-0.05381846011732705,335
DOW,Dow Inc-,Materials,Commodity Chemicals,-0.0541178269777447,336
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,-0.05470954890915891,337
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,-0.05691718339221552,338
STT,State Street Corp-,Financials,Asset Management & Custody Banks,-0.057012510995264165,339
NUE,Nucor Corp-,Materials,Steel,-0.061739927157759666,340
ETR,Entergy Corp-,Utilities,Electric Utilities,-0.06669433509523515,341
ATO,Atmos Energy,Utilities,Gas Utilities,-0.0692929440192529,342
GILD,Gilead Sciences,Health Care,Biotechnology,-0.0713337556226179,343
ED,Consolidated Edison,Utilities,Electric Utilities,-0.07206713569030399,344
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,-0.07262387480295729,345
GL,Globe Life Inc-,Financials,Life & Health Insurance,-0.075217180463369,346
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",-0.07684598548803478,347
