Date,USA_StringencyIndex,USA_StringencyIndex_LogChange,USA_StringencyIndex_Cumulative,USA_StringencyLegacyIndex,USA_StringencyLegacyIndex_LogChange,USA_StringencyLegacyIndex_Cumulative,USA_GovernmentResponseIndex,USA_GovernmentResponseIndex_LogChange,USA_GovernmentResponseIndex_Cumulative,USA_ContainmentHealthIndex,USA_ContainmentHealthIndex_LogChange,USA_ContainmentHealthIndex_Cumulative,USA_EconomicSupportIndex,USA_EconomicSupportIndex_LogChange,USA_EconomicSupportIndex_Cumulative
2020-03-11,21.76,0.06301654,3.1250046268105507,26.19,0.0,3.302849128842354,23.21,0.037454408,3.186765845865011,27.08,0.037740327,3.335057571530342,0.0,0.0,0.0
2020-03-12,30.09,0.3118816,3.436886228621006,30.95,0.16132292,3.464172050356865,28.57,0.19999456,3.3867604099214077,33.33,0.20096202,3.536019593477249,0.0,0.0,0.0
2020-03-13,30.09,0.0,3.436886228621006,30.95,0.0,3.464172050356865,28.57,0.0,3.3867604099214077,33.33,0.0,3.536019593477249,0.0,0.0,0.0
2020-03-14,35.65,0.16452721,3.6014134362339973,40.48,0.2610392,3.7252112478017807,34.52,0.18333559,3.5700959973037243,40.28,0.1843585,3.72037810087204,0.0,0.0,0.0
2020-03-15,41.2,0.1410068,3.742420233786106,40.48,0.0,3.7252112478017807,38.1,0.09602655,3.666122544556856,44.44,0.096014656,3.816392756998539,0.0,0.0,0.0
2020-03-16,52.31,0.2337037,3.9761239364743233,54.76,0.2958454,4.021056637167931,45.24,0.16772276,3.833845306187868,52.78,0.16850887,3.9849016293883324,0.0,0.0,0.0
2020-03-17,55.09,0.050833613,4.0269575491547585,59.52,0.08191712,4.102973759174347,47.02,0.037772365,3.8716176711022854,54.86,0.03794691,4.022848539054394,0.0,0.0,0.0
2020-03-18,55.09,0.0,4.0269575491547585,59.52,0.0,4.102973759174347,47.02,0.0,3.8716176711022854,54.86,0.0,4.022848539054394,0.0,0.0,0.0
2020-03-19,67.13,0.1944601,4.221417643129826,70.24,0.16308057,4.266054332256317,54.76,0.14943917,4.021056842058897,63.89,0.14984497,4.1726935133337975,0.0,0.0,0.0
2020-03-20,67.13,0.0,4.221417643129826,70.24,0.0,4.266054332256317,54.76,0.0,4.021056842058897,63.89,0.0,4.1726935133337975,0.0,0.0,0.0
2020-03-21,72.69,0.07844946,4.29986710101366,72.14,0.026320955,4.292375287041068,58.33,0.062058315,4.08311515673995,68.06,0.062282164,4.234975676983595,0.0,0.0,0.0
2020-03-22,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,58.33,0.0,4.08311515673995,68.06,0.0,4.234975676983595,0.0,0.0,0.0
2020-03-23,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,58.33,0.0,4.08311515673995,68.06,0.0,4.234975676983595,0.0,0.0,0.0
2020-03-24,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,58.33,0.0,4.08311515673995,68.06,0.0,4.234975676983595,0.0,0.0,0.0
2020-03-25,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,58.33,0.0,4.08311515673995,68.06,0.0,4.234975676983595,0.0,0.0,0.0
2020-03-26,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,58.33,0.0,4.08311515673995,68.06,0.0,4.234975676983595,0.0,0.0,0.0
2020-03-27,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,67.26,0.14020887,4.223324026912451,68.06,0.0,4.234975676983595,62.5,4.15104,4.151040077209473
2020-03-28,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,67.26,0.0,4.223324026912451,68.06,0.0,4.234975676983595,62.5,0.0,4.151040077209473
2020-03-29,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,67.26,0.0,4.223324026912451,68.06,0.0,4.234975676983595,62.5,0.0,4.151040077209473
2020-03-30,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,67.26,0.0,4.223324026912451,68.06,0.0,4.234975676983595,62.5,0.0,4.151040077209473
2020-03-31,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,67.26,0.0,4.223324026912451,68.06,0.0,4.234975676983595,62.5,0.0,4.151040077209473
2020-04-01,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,67.26,0.0,4.223324026912451,68.06,0.0,4.234975676983595,62.5,0.0,4.151040077209473
2020-04-02,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,67.26,0.0,4.223324026912451,68.06,0.0,4.234975676983595,62.5,0.0,4.151040077209473
2020-04-03,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,67.26,0.0,4.223324026912451,68.06,0.0,4.234975676983595,62.5,0.0,4.151040077209473
2020-04-04,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,69.05,0.025885329,4.249209355562925,70.14,0.029674074,4.26464975066483,62.5,0.0,4.151040077209473
2020-04-05,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,69.05,0.0,4.249209355562925,70.14,0.0,4.26464975066483,62.5,0.0,4.151040077209473
2020-04-06,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.025092943,4.274302298203111,72.22,0.028818842,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-07,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-08,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-09,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-10,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-11,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-12,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-13,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-14,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-15,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-16,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-17,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-18,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-19,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-20,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-21,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-22,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-23,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-24,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-25,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-26,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
2020-04-27,72.69,0.0,4.29986710101366,72.14,0.0,4.292375287041068,70.83,0.0,4.274302298203111,72.22,0.0,4.293468592688441,62.5,0.0,4.151040077209473
