Symbol,S&P 500 Log Return,Predicted S&P 500 Log Return,Actual - Predicted,Return Beta,Constant,R2,Return p value
AMGN,0.06258556526786219,-0.21753741005545724,0.28012297532331926,1.3161781195676465,-0.001556915119681618,0.38,6.519969139374077e-08
AMP,0.032097785312481086,0.019721544110783397,0.012376241201697915,1.6741903426253593,-0.00040364891895799487,0.71,4.637288980127633e-18
AMT,-0.020400185222871278,0.36243906884681376,-0.3828392540696852,0.46900409085420564,0.0017854030715852365,0.05,0.08760648859136994
AMZN,0.36582422789225966,0.6015645605406635,-0.23574033264840363,0.31399177328661465,0.0031044335967114413,0.02,0.2933209629700878
ANET,0.19642766728535221,0.28617415459302004,-0.08974648730766771,0.9519770431684205,0.0012330311477331663,0.15,0.001959240967548973
ANSS,0.10282125643783055,0.46921251610533565,-0.36639125966750535,1.1725311815911847,0.0021396441010258344,0.41,1.6966991183628057e-08
ANTM,0.09079729465848184,-0.20201507573048297,0.2928123703889649,1.4131910860179329,-0.0015038180943992264,0.21,0.00016045630740374301
AON,-0.14959826649924324,0.41630750725901033,-0.5659057737582536,0.6155524488712791,0.002027421903821565,0.25,2.4369587709292155e-05
AOS,0.22214534988042178,-0.7135430476876464,0.9356883975680685,1.567206937928105,-0.004271495296999262,0.37,1.3627105750901888e-07
APA,-1.0147671466896138,0.19596244861364953,-1.2107295953032626,1.7400488568160484,0.0005137975699659274,0.05,0.0757079563595341
APD,0.03098243831703762,-0.023062101059085377,0.05404453937612307,1.0824773577987357,-0.000451483226070731,0.32,1.1245016470658792e-06
APH,0.17963473838732114,-0.2163876959077877,0.39602243429510886,1.2926375823719314,-0.0015436489637252106,0.53,1.8339257764717745e-11
APTV,0.19199428786602457,-0.38344300862943526,0.5754372964954596,1.7739835517419513,-0.0025784543279351313,0.35,3.0925140299208014e-07
ARE,-0.028902403688465302,0.11412379364727059,-0.14302619733573604,0.4056671548712266,0.00048381631782033285,0.06,0.05789310897250798
ATO,-0.1576125811872604,0.24583983702421647,-0.40345241821147654,0.09487822009387364,0.0012788385736303954,0.01,0.5465439845523865
ATVI,0.18627520024148936,0.3851215396695056,-0.19884633942801624,0.9113918679197979,0.0017716751468973228,0.16,0.0010158914520101126
AVB,-0.2877411586425236,0.10354511461524608,-0.3912862732577699,0.26370128974309603,0.00047067018868146706,0.03,0.15177382520886915
AVGO,0.1681572774184854,-0.28833307122981633,0.4564903486483017,1.6854199404980328,-0.0020456483922980328,0.38,8.407938184716507e-08
AVY,0.08953066487307915,-0.11782733565743533,0.20735800053051429,1.1885902869190481,-0.0009877864032445227,0.3,4.1398234664059955e-06
AWK,0.1510146590366181,0.477581419865512,-0.3265667608288936,-0.007090798605845518,0.0025424805968521243,0.0,0.9688461847546938
AXP,-0.17462464337231956,0.15445007416790324,-0.32907471754022255,1.1810774068591505,0.0004627797981433668,0.43,6.969794604013451e-09
AZO,0.08013861107733611,-0.40769402718918774,0.4878326382665239,0.681819472053162,-0.0023756942006850934,0.09,0.01444297305306762
BA,-0.5922363572350777,-0.4388763667297802,-0.15335999050529692,0.846487483288644,-0.002591577135209665,0.1,0.011543189903704894
BAC,-0.2514790589463196,-0.09632143530673527,-0.1551576236395843,1.3616934045866989,-0.0009259749839366065,0.57,1.12738708770949e-12
BAX,-0.12321859475566477,0.258066674709391,-0.3812852694650559,0.766617789959236,0.0011398278578239776,0.19,0.00033534579224286725
BBY,0.22862662225710295,0.23602328577457773,-0.007396663517474877,1.3764561097433954,0.0008373317778702195,0.23,8.427601177350034e-05
BDX,-0.05317163876088582,-0.04242017085605668,-0.010751467904829146,0.7195764535744404,-0.00044421718754257577,0.05,0.0757436123449654
BEN,-0.21265482344713238,-0.5535517598024832,0.34089693635535073,1.5429368289642116,-0.0034131055389276504,0.23,6.501341175585829e-05
BF-B,0.10860503304293267,0.1688956536790652,-0.06029062063613238,0.6654922475391554,0.0006962317318632161,0.1,0.012170210435218248
BIIB,-0.31619485923787133,0.2890601008043434,-0.6052549600422146,1.4745179694346482,0.0010896553022937913,0.13,0.0037819419879897434
BIO,0.3871156194022989,0.21369183433455824,0.17342378506774064,1.078817167873541,0.0008089580339420528,0.17,0.0007031764605237951
BK,-0.17080277119779552,-0.3089265807810185,0.1381238095832229,0.7577617153031885,-0.0018734035996210497,0.09,0.016801951755564593
